serial,transmitter,EDE_survival_time,total_length_mm,weight_g,group,max_temp
1392803,A69-9007-6752,41.73277777777778,390,NA,1,35.0055
1392805,A69-9007-6756,352.41180555555553,360,NA,1,35.0055
1392806,A69-9007-6758,113.77625,360,NA,1,35.0055
1392809,A69-9007-6764,134.06166666666667,375,NA,2,35.0055
1392810,A69-9007-6766,114.75958333333334,380,NA,2,35.0055
1392816,A69-9007-6778,113.24527777777777,410,NA,3,35.0055
1392817,A69-9007-6780,151.08291666666668,350,NA,4,35.0055
1392819,A69-9007-6784,113.385,390,NA,4,35.0055
1392821,A69-9007-6788,8.655972222222223,360,NA,4,35.0055
1392823,A69-9007-6792,38.90847222222222,360,NA,5,35.0055
1392825,A69-9007-6796,2.8765277777777776,345,NA,5,35.0055
1392826,A69-9007-6798,53.753194444444446,405,NA,5,35.0055
1392827,A69-9007-6800,19.325277777777778,385,690,1,35.0055
1392828,A69-9007-6802,110.46430555555555,395,710,1,35.0055
1392829,A69-9007-6804,NA,395,745,1,35.0055
1392830,A69-9007-6806,30.586805555555557,365,654,1,35.0055
1392831,A69-9007-6808,18.315277777777776,385,723,1,35.0055
1392832,A69-9007-6810,32.949444444444445,405,622,2,35.0055
1392833,A69-9007-6812,18.413611111111113,385,771,2,35.0055
1392834,A69-9007-6814,4.1725,390,749,2,35.0055
1392836,A69-9007-6818,7.635972222222223,340,449,2,35.0055
1392837,A69-9007-6820,NA,365,532,3,35.0055
1392838,A69-9007-6822,NA,340,457,3,31.383
1392839,A69-9007-6824,222.7915277777778,350,462,3,35.0055
1392841,A69-9007-6828,16.374166666666667,360,527,3,35.0055
1392842,A69-9007-6830,8.745138888888889,345,520,4,35.0055
1392843,A69-9007-6832,111.86472222222223,380,675,4,35.0055
1392844,A69-9007-6834,NA,370,583,4,35.0055
1392845,A69-9007-6836,51.80027777777778,360,553,4,35.0055
1392846,A69-9007-6838,16.864305555555557,350,505,4,35.0055
1392847,A69-9007-6840,97.43263888888889,365,625,5,35.0055
1392849,A69-9007-6844,2.3981944444444445,380,610,5,35.0055
1392850,A69-9007-6846,197.73055555555555,370,640,5,35.0055
1392851,A69-9007-6848,96.11180555555555,375,615,5,35.0055
1392852,A69-9007-6850,61.925694444444446,345,503,1,35.0055
1392853,A69-9007-6852,13.514166666666666,395,686,1,35.0055
1392854,A69-9007-6854,46.809583333333336,370,538,1,35.0055
1392855,A69-9007-6856,16.205694444444443,370,570,1,35.0055
1392856,A69-9007-6858,7.255138888888889,350,554,1,35.0055
1392857,A69-9007-6860,24.76638888888889,355,515,2,35.0055
1392858,A69-9007-6862,26.26888888888889,330,433,2,35.0055
1392859,A69-9007-6864,201.01930555555555,355,560,2,35.0055
1392860,A69-9007-6866,62.974444444444444,370,635,2,35.0055
1392861,A69-9007-6868,NA,405,838,2,35.0055
1392862,A69-9007-6870,2.696388888888889,345,494,3,35.0055
1392863,A69-9007-6872,6.414583333333334,315,382,3,35.0055
1392865,A69-9007-6876,5.3381944444444445,310,321,3,35.0055
1392867,A69-9007-6880,33.29194444444445,360,554,4,35.0055
1392868,A69-9007-6882,23.45236111111111,370,574,4,35.0055
1392871,A69-9007-6888,53.83402777777778,380,690,4,35.0055
1392872,A69-9007-6890,31.905277777777776,390,727,5,35.0055
1392873,A69-9007-6892,NA,390,709,5,35.0055
1392876,A69-9007-6898,101.73597222222222,400,731,5,35.0055
1392877,A69-9007-6900,8.575833333333334,395,747,1,35.0055
1392879,A69-9007-6904,13.274166666666666,330,399,1,35.0055
1392881,A69-9007-6908,206.7,370,615,1,35.0055
1392883,A69-9007-6912,9.80263888888889,400,705,2,35.0055
1392884,A69-9007-6914,27.56972222222222,375,648,2,35.0055
1392889,A69-9007-6924,NA,400,790,3,35.0055
1392890,A69-9007-6926,6.5008333333333335,415,803,3,35.0055
1392892,A69-9007-6930,55.84097222222222,390,641,4,35.0055
1392893,A69-9007-6932,9.005277777777778,385,613,4,35.0055
1392895,A69-9007-6936,NA,340,496,4,35.0055
1392896,A69-9007-6938,NA,415,712,4,35.0055
1392897,A69-9007-6940,10.313333333333333,435,713,5,35.0055
1392898,A69-9007-6942,8.182222222222222,405,651,5,35.0055
