Station.name,Array,Lat_rep,Long_rep
Site A,A,44.9645,-67.0133
MF-0059-01,A,44.9645,-67.0133
MF-0059-02,A,44.9645,-67.0133
MF-0059-03,A,44.9645,-67.0133
MF-0059-04,A,44.9645,-67.0133
MF-0059-05,A,44.9645,-67.0133
MF-0059-06,A,44.9645,-67.0133
MF-0059-07,A,44.9645,-67.0133
MF-0044-01,AA,45.001133,-66.907162
SHO-02,AA,45.001133,-66.907162
DP-I-01,AAA,45.0212,-66.9629
WP-I-01,B,44.9773,-67.0365
WP-I-02,B,44.9773,-67.0365
WP-I-03B,B,44.9773,-67.0365
WP-I-04,B,44.9773,-67.0365
WP-I-05,B,44.9773,-67.0365
SHO-07,BB,45.0113,-66.9024
LR-01,BBB,45.14,-66.493
LR-02,BBB.1,45.1503,-66.4871
WP-O-01B,C,44.950101,-67.022744
WP-O-02B,C,44.950101,-67.022744
WP-O-03B,C,44.950101,-67.022744
WP-O-04B,C,44.950101,-67.022744
SHO-06,CC,45.0219,-66.9227
NH-01,D,44.9826,-67.0091
SHO-01,DD,45.032,-66.912
AZFP-01,E,44.9933,-67.0081
MF-0037-01,EE,45.0412,-66.8736
DI-01,F,45.019221,-66.990337
DI-02,F,45.019221,-66.990337
DI-03,F,45.019221,-66.990337
DI-04,F,45.019221,-66.990337
MF-0222-01,F,45.019221,-66.990337
MF-0228-01,F,45.019221,-66.990337
MF-0377-01,F,45.019221,-66.990337
WBAT-01,F,45.019221,-66.990337
HW-01,FF,45.026077,-66.868125
MF-0276-01,FF,45.026077,-66.868125
SCR-O-01,G,45.079274,-67.09612
SCR-O-02,G,45.079274,-67.09612
SCR-O-03,G,45.079274,-67.09612
SCR-O-04,G,45.079274,-67.09612
SCR-M-02,G1,45.1233,-67.1344
SCR-M-01,G2,45.1643,-67.1645
WR-01,G3,45.184,-67.1445
WR-02,G3,45.184,-67.1445
WR-O1B,G3,45.184,-67.1445
SCR-I-01,G4,45.172483,-67.242755
SCR-I-01B,G4,45.172483,-67.242755
DS-01,G5,45.1915,-67.2587
SCR-B-01B,G6,45.1914,-67.2742
FI-04B,GG,45.004672,-66.860589
FI-05B,GG,45.004672,-66.860589
FI-06B,GG,45.004672,-66.860589
FI-07B,GG,45.004672,-66.860589
FI-08B,GG,45.004672,-66.860589
FI-09B,GG,45.004672,-66.860589
SAH-01,H,45.069815,-67.055648
SAH-02,H,45.069815,-67.055648
FI-10B,HH,44.973779,-66.886234
FI-11,HH,44.973779,-66.886234
FI-12B,HH,44.973779,-66.886234
FI-13B,HH,44.973779,-66.886234
FI-14B,HH,44.973779,-66.886234
FI-15B,HH,44.973779,-66.886234
FI-16B,HH,44.973779,-66.886234
FI-17B,HH,44.973779,-66.886234
MF-0186-01,HH,44.973779,-66.886234
CH-02,I,45.090756,-67.03751
CH-03,I,45.090756,-67.03751
MF-0026-01,II,45.0414,-66.8247
CH-01,J,45.121,-67.0517
FI-01B,JJ,45.0345,-66.8123
FI-02,JJ,45.0345,-66.8123
FI-03,JJ,45.0345,-66.8123
TS-01,K,45.0661,-67.0122
MF-0016-01,KK,45.057448,-66.823791
MF-0020-01,KK,45.057448,-66.823791
MF-0022-01,KK,45.057448,-66.823791
BR-01,L,45.1525,-66.98
BR-01B,L,45.1525,-66.98
BR-02,L,45.1525,-66.98
MF-0206-01,LL,44.9458,-66.9036
DR-01,M,45.152422,-66.960761
DR-02,M,45.152422,-66.960761
DR-03,M1,45.184117,-66.959804
DR-03B,M1,45.184117,-66.959804
HW-02,MM,44.9131,-66.8882
MR-O-01B,N,45.112137,-66.898193
MR-O-01C,N,45.112137,-66.898193
MR-O-02B,N,45.112137,-66.898193
MR-B-01B,N1,45.1265,-66.8237
QN-01,NN,44.823994,-66.940829
QN-02,NN,44.823994,-66.940829
QN-03,NN,44.823994,-66.940829
QN-04,NN,44.823994,-66.940829
BLP-I-01,O,45.062997,-66.925295
BLP-I-03,O,45.062997,-66.925295
BLP-I-04,O,45.062997,-66.925295
HW-05,OO,44.778,-66.8221
LLP-I-02,P,45.0393,-66.942
HW-06,PP,44.7785,-66.7501
MF-0213-01,QQ,44.732089,-66.734644
MF-0368-01,QQ,44.732089,-66.734644
MF-0051-01,R,44.9353,-66.9818
MF-0002-01,RR,44.7208,-66.7254
MF-0349-01,RR,44.7208,-66.7254
MF-0350-01,RR,44.7208,-66.7254
LN-01,S,44.8638,-66.9816
MF-0055-01,T,44.8858,-66.96
MF-0282-01,TT,44.681505,-66.70902
MF-0298-01,TT,44.681505,-66.70902
MF-0300-01,TT,44.681505,-66.70902
MF-0052-01,U,44.920595,-66.935841
MF-0053-01,U,44.920595,-66.935841
MF-0172-01,UU,44.6671,-66.7202
SHO-08,V,44.9475,-66.9505
HW-03,VV,44.9774,-66.7125
HW-04,VVV,44.9671,-66.7115
HHP-01,W,44.957486,-66.936397
HHP-02,W,44.957486,-66.936397
HHP-03,W,44.957486,-66.936397
HHP-04,W,44.957486,-66.936397
HHP-06,W,44.957486,-66.936397
SHO-04,W,44.957486,-66.936397
SHO-05,W,44.957486,-66.936397
MF-0012-01,WW,45.066,-66.7343
NWH-01,X,44.9857,-66.9513
MF-0400-01,XX,45.0812,-66.6435
MF-0046-01,Y,45.0003,-66.9447
MF-0507-01,YY,45.0919,-66.6129
MF-0045-01,Z,45.0056,-66.9268
MF-0412-01,ZZ,45.1028,-66.5778
